supplier_name,total_spend,tender_count,agencies_count,on_time_delivery_pct,quality_rating,cost_competitiveness_score
"*SCAPE CO., LTD.",6320.0,1,1,91.97,5.0,93.29
01 COMPUTER SYSTEM PTE LTD,9425543.690000001,20,11,86.89,4.79,89.18
1 CELL BIO INC,175227.52,1,1,93.18,3.43,89.2
1 K PRODUCTIONS PTE. LTD.,900.0,1,1,100.0,3.4,79.93
1-GARAGE PTE. LTD.,100.0,1,1,86.13,4.86,85.94
1-GARDEN PTE. LTD.,100.0,1,1,86.13,3.42,80.14
1-KNOT PTE. LTD.,25390.0,1,1,100.0,4.41,65.91
1-MANSION PTE. LTD.,100.0,1,1,94.14,3.73,81.03
1-NET SINGAPORE PTE LTD,2682718.73,4,3,84.24,5.0,80.56
1-PRODUCTION PTE. LTD.,50.0,1,1,92.34,3.64,83.84
1-SOLEIL PTE. LTD.,100.0,1,1,84.29,4.79,76.72
108 GROWTH PARTNERS PTE. LTD.,488000.0,1,1,84.27,4.21,70.39
1965 THE MOBILE ACTIVITY CAFE PTE. LTD.,17340.0,1,1,89.94,4.25,84.57
"1LIGHT MEDIA, INC",91180.0,1,1,72.69,2.92,64.87
1SPATIAL AUSTRALIA PTY LIMITED,109796.0,1,1,74.2,2.78,92.59
1SURVEY ASSOCIATES,249100.0,2,1,83.5,3.97,75.69
2 IC CATERING PRIVATE LIMITED,5.5,1,1,79.9,4.25,80.46
23.5 DEGREE G-ARCHITECTS PTE. LTD.,2584880.0,2,2,90.51,3.42,83.59
2359 MEDIA PTE. LTD.,1.0,1,1,80.74,3.45,83.91
2EZ ASIA PTE. LTD.,1.0,1,1,76.7,4.44,63.91
2ND PET TAXI & CREMATION SERVICES,1003180.0,2,2,99.73,4.44,86.24
3-SIXTY BRAND COMMUNICATIONS PTE. LTD.,5487716.5,3,3,86.19,4.02,81.03
30 BENCOOLEN PTE. LTD.,170.5,1,1,88.54,4.57,71.65
33 TALENT SINGAPORE PRIVATE LIMITED,43901.0,2,2,76.6,3.4,70.5
3818 ASIA ENGINEERING PTE. LTD.,2303258.5,4,1,83.64,3.89,74.66
388 PTE. LTD.,670800.0,2,2,88.89,5.0,65.01
3AD GROUP PTE. LTD.,118430.0,1,1,78.79,4.14,95.22
3C PROPERTY CONSULTANTS PTE. LTD.,0.02,2,1,91.01,4.18,92.86
3D NETWORKS SINGAPORE PTE. LTD.,18422120.29,16,10,83.19,5.0,82.52
3E MEMTECH PTE. LTD.,72720.0,1,1,85.67,3.26,75.77
3G GLOBAL PTE. LTD.,71282.9,1,1,83.19,4.58,76.03
3I INFOTECH ASIA PACIFIC PTE. LTD.,6730.0,1,1,100.0,5.0,85.58
3M TECHNOLOGIES (S) PTE. LTD.,693760.12,11,4,87.89,3.91,95.58
3P ECOTECTURE PTE. LTD.,1342813.02,3,2,79.54,4.62,72.3
3PA PTE. LTD.,2524055.81,8,4,94.58,3.51,66.82
3S COMMUNICATION PTE. LTD.,1621360.0,6,1,78.23,3.69,93.48
3S CONSTRUCTION SERVICES PTE. LTD.,13800.0,1,1,89.67,4.33,60.13
3SI PTE. LTD.,157397.0,1,1,72.32,4.58,67.91
3WAVES ENERGY PTE. LTD.,65940.0,2,1,77.37,4.77,75.53
4N LIMITED,89472.0,1,1,89.57,5.0,62.4
4U ELEVATOR PTE. LTD.,139058.0,2,2,93.91,4.06,89.12
5 ESTRELAS SISTEMAS DE SEGURANCA LTDA,608951.0,1,1,89.37,4.82,86.57
5 Estrelas Sistema de Seguranca LTDA,762443.0,1,1,87.07,3.89,72.25
57 MEDICAL PTE. LTD.,2360000.0,1,1,85.59,4.64,90.8
6-SIGMA AUTOMATION PTE. LTD.,164500.0,1,1,76.17,4.22,92.49
600 MEDIA PRODUCTIONS,188000.0,1,1,82.24,4.37,76.87
7 STEPS PRODUCTIONS PTE. LTD.,23280.0,1,1,84.31,4.35,73.49
7-Jul,252712.0,1,1,96.46,3.14,100.0
8 HUNTERS INTERNATIONAL PTE. LTD.,1.0,1,1,90.75,3.43,85.21
800 SUPER WASTE MANAGEMENT PTE LTD,396195337.32,14,8,73.9,4.16,80.56
8IGHTEES PRIVATE LIMITED,0.0,1,1,90.59,3.09,91.64
96 BEVERAGE (ASIA) PTE. LTD.,864646.3500000001,6,5,84.92,4.6,81.02
9G ELEVATOR PTE. LTD.,5393480.54,10,6,82.58,4.62,72.94
A & D PRINTHUB PTE. LTD.,68002.0,2,1,92.89,4.3,78.8
A & L COMPUTER SERVICES PTE LTD,1.0,1,1,96.25,3.43,88.39
A & P MAINTENANCE SERVICES PTE LTD,8062532.0,2,2,95.45,4.93,58.08
A CRAFT INITIATIVE,181.0,2,1,81.29,5.0,75.12
A D LAB PTE. LTD.,10140000.0,1,1,85.53,4.19,91.83
A DISTILLERY,114950.0,1,1,90.65,4.41,72.88
A PLUS ENGRG & SERVICES PTE. LTD.,1569750.3,8,8,95.8,4.22,93.46
A S K ELECTRONIC PTE. LTD.,432926.7,4,1,84.17,4.42,92.15
A STAR VALUER PTE. LTD.,0.02,2,1,86.51,4.03,77.34
A VERY NORMAL COMPANY PTE. LTD.,126.0,3,3,79.15,4.08,72.31
A YONG PTE. LTD.,6963626.0,2,2,78.43,4.64,75.13
A&S TRANSIT PTE. LTD.,14650.0,1,1,94.5,5.0,100.0
A&T SIGNBOARD & PRINTING SDN. BHD,6404.14,1,1,98.85,3.26,96.74
A+B Edu Tours and Travel Pte. Ltd.,776732.96,8,4,87.42,4.04,79.25
A+B PTE. LTD.,356761.0,2,1,96.03,3.39,71.92
A+B TOURISM TRAINING HUB PTE. LTD.,26876.0,1,1,90.89,5.0,79.17
A-GEO. SURVEY CONSULTANTS,0.0,2,1,82.84,3.75,80.44
A-IT Software Services Pte Ltd,323720.0,1,1,90.89,3.23,65.57
A-MAIN OBJECTIVES PTE LTD,14400.0,1,1,100.0,4.48,78.8
A-MOBILE PTE. LTD.,1.0,1,1,87.71,5.0,91.22
A-ONE AIR-CONDITIONING PTE LTD,529200.0,1,1,100.0,4.5,60.01
A-SONIC LOGISTICS PTE. LTD.,22077505.96,5,3,67.04,4.22,86.27
A-SPEED INFOTECH PTE. LTD.,1169178.0,5,5,94.58,4.35,91.75
A-STAR ENRICHMENT SERVICES,1145700.0,1,1,88.7,4.95,72.39
A-TEAM PEST CONTROL PTE. LTD.,143620.0,2,2,85.61,3.58,94.94
A-TEC AUTOMOTIVE PTE. LTD.,104652.0,1,1,88.73,4.03,71.1
A-TUNE SOFTWARE INC.,170000.0,1,1,72.1,3.83,82.41
A.G.T Marketing Pte Ltd,56235.0,1,1,86.24,3.4,74.93
A.MAX PTE LTD,723228.1599999999,4,3,90.86,3.9,74.93
A.MAX PTE. LTD.,1027614.0,2,2,99.82,4.76,71.83
A.S.LOUKEN BRANDING PTE. LTD.,1.0,1,1,83.85,4.44,84.99
A2LA WorkPlace Training,103080.24,1,1,81.53,4.49,86.49
AA ACCESS PARTNERSHIP LIMITED,2.0,2,1,83.99,4.19,77.36
AA VEHICLE INSPECTION CENTRE PTE LTD,4249530.0,1,1,95.32,4.41,64.4
AADVANTAGE CONSULTING GROUP PTE. LTD.,6928783.5,28,14,90.63,3.62,82.03
AAM GEOSPATIAL PTE. LTD.,1365351.1,3,2,83.76,3.91,82.22
AAM PTY LTD,9474694.0,3,2,92.11,4.22,75.83
AARDWOLF PESTKARE (SINGAPORE) PTE LTD,78680.0,1,1,88.78,4.27,96.67
AARON WILLS & CO. PRIVATE LIMITED,358083.0,8,3,95.75,4.29,62.36
AAXONN MEDIA SERVICES PTE. LTD.,2419.2,2,2,82.38,4.02,55.83
AAXONN PTE. LTD.,1399.9,1,1,85.38,3.87,70.69
AB ASSOCIATES PTE. LTD.,348000.0,1,1,84.86,5.0,85.1
AB SCIEX (DISTRIBUTION),15853628.84,18,8,76.29,4.64,67.44
ABACUS PROPERTY MANAGEMENT PRIVATE LIMITED,43080.0,1,1,90.37,4.35,68.19
ABB PTE. LTD.,56960664.879999995,24,9,90.09,3.96,87.51
ABBOTT INFORMATICS ASIA PACIFIC LTD,1626907.0,1,1,88.04,3.83,82.63
ABBOTT INFORMATICS SINGAPORE PTE. LIMITED,1426297.9,2,1,86.12,4.02,81.77
ABBOTT LABORATORIES (SINGAPORE ) PRIVATE LIMITED,9095020.0,1,1,76.68,4.28,85.81
ABCAM SINGAPORE PTE. LTD.,2142351.45,2,1,84.63,2.97,73.75
ABEAM ANALYTICS PTE. LTD.,10217430.25,3,3,85.26,3.16,74.21
ABERDEEN ASSET MANAGEMENT ASIA LIMITED,6.0,2,2,81.58,3.72,86.1
ABERDEEN STANDARD INVESTMENTS (ASIA) LIMITED,2.0,1,1,86.71,4.22,64.55
ABI RESEARCH SINGAPORE PTE. LTD.,63022.23,1,1,91.23,3.96,56.57
ABINGDON CONSTRUCTION PTE. LTD.,186000.0,1,1,100.0,4.99,73.67
ABJ PTE LTD,11996610.0,5,2,89.4,3.21,87.31
ABL CONSULTANTS PTE. LTD.,616837.0,9,3,90.06,3.65,80.56
ABN IMPACT PTE. LTD.,1.0,1,1,87.4,5.0,86.57
ABR HOLDINGS LIMITED,463000.0,1,1,72.65,4.18,57.84
ABRAMTLE INTERNATIONAL PTE. LTD.,946490.45,3,2,87.79,4.63,81.15
ABSG CONSULTING INC.,606094.0,2,2,88.48,5.0,84.54
ABSOLUTE INSTRUMENT SYSTEMS (PTE.) LTD.,175405.4,4,2,100.0,3.68,64.49
ABSOLUTE KINETICS CONSULTANCY PTE LTD,23760.0,1,1,86.46,4.04,86.62
ABSOLUTE MAINTENANCE SERVICES PTE LTD,26234750.0,8,5,90.41,3.94,76.88
ABSOLUTE MAINTENANCE SERVICES PTE. LTD.,11076300.0,2,2,87.72,2.93,100.0
ABSOLUTE SC PTE. LTD.,1072066.6,1,1,78.65,3.91,56.23
ABTUS SINGAPORE PTE LTD,923677.53,1,1,97.14,4.63,91.69
ABTUS SINGAPORE PTE. LTD.,792631.78,1,1,94.02,4.42,74.06
ABUNDANZ CONSULTING PTE. LTD.,152864.0,4,3,94.33,4.47,61.83
ABV SYSTEMS PTE LTD,743360.0,1,1,80.72,3.87,72.73
ABVOLUTION WELLNESS,278730.2,2,2,99.22,3.71,80.77
AC&CS (PTE.) LTD.,97700.0,1,1,76.79,4.86,88.37
ACA ENGRG PTE LTD,1068565.1,3,3,92.69,3.8,95.22
ACA PACIFIC TECHNOLOGY (SINGAPORE) PTE. LTD.,249684.0,1,1,100.0,4.28,92.22
ACADEMICLINIC PTE. LTD.,409825.0,2,1,80.08,4.2,68.35
ACADEMY COMMUNICATION PTE. LTD.,26700.0,1,1,83.47,4.98,89.3
ACADEMY OF MEDICINE SINGAPORE,3525576.0,2,1,88.8,4.68,81.91
ACADEMY OF SOLUTION FOCUSED TRAINING PTE. LTD.,19400.0,1,1,83.97,3.32,71.45
ACADEMY OF SPORTS AND EXERCISE SCIENCE PTE. LTD.,963564.44,5,3,75.59,3.39,75.88
ACADIAN ASSET MANAGEMENT (SINGAPORE) PTE LTD,330000.0,2,2,88.55,4.45,70.9
ACC EDUHUB PTE. LTD.,8284.8,1,1,79.5,4.06,78.37
ACCENT MUSICAL EQUIPMENT PTE LTD,24036.0,2,2,91.79,3.83,70.7
ACCENTURE PTE LTD,615369485.37,39,17,80.64,4.71,67.72
ACCENTURE SG SERVICES PTE. LTD.,276978736.44,18,13,100.0,4.21,82.79
ACCESS EXPRESS COURIERS PTE LTD,2896095.23,1,1,81.73,4.13,84.29
ACCESS-2-HEALTHCARE,49680.0,1,1,85.42,4.57,76.12
ACCLAIM INSURANCE BROKERS PTE. LTD.,5410889.34,14,8,94.51,3.87,91.68
ACCLAIM SYSTEMS PTE. LTD.,226200.0,3,2,78.15,5.0,75.4
ACCLIVIS TECHNOLOGIES AND SOLUTIONS PTE. LTD.,71134541.6,7,4,89.82,3.63,74.97
ACCORD BUSINESS SOLUTIONS PTE. LTD.,86700.0,3,1,98.46,4.49,84.6
ACCORD TEST EQUIPMENT,66645.0,1,1,75.14,4.96,76.68
ACCRETE TECHNOLOGY (S) PTE. LTD.,233000.0,1,1,89.48,3.27,78.85
ACCULEX SOLUTIONS PTE. LTD.,168000.0,1,1,90.08,3.89,52.8
ACCURACY SINGAPORE CORPORATE ADVISORY PTE. LTD.,130800.0,1,1,94.25,4.79,78.17
ACCURATE GENERAL CORP.,268442.24,1,1,78.1,4.79,59.73
ACCURATE GENERAL GORP.,623178.73,1,1,77.44,4.0,65.79
ACE BUILDING SERVICES PTE. LTD.,651300.0,1,1,92.18,3.66,64.65
ACE KEGAN PTE. LTD.,547278.0,2,2,90.38,4.67,67.57
ACE LAND SURVEY,450799.0,3,2,90.0,4.81,72.51
"ACE RECREATION, SPORTS & WELLNESS PTE. LTD.",171200.0,2,1,90.77,3.4,73.14
ACE RECRUITERS,2725703.58,7,1,82.56,3.38,84.64
ACE SPORTS SG,15480.0,1,1,89.86,4.24,80.22
ACE TOURS & TRAVEL PTE. LTD.,2773.0,1,1,90.34,4.48,58.99
ACE WATER PTE. LTD.,49905415.0,22,4,82.29,3.92,78.83
ACE'S OF VASE PTE. LTD.,3.0,3,1,100.0,4.51,81.18
ACE(S) ENTERPRISE,1.0,1,1,91.79,3.67,74.71
ACE-TONE SOLUTIONS,84550.0,4,2,78.47,2.83,77.39
ACE:DAYTONS COMMUNICATIONS PTE. LTD.,51931.1,1,1,93.25,3.85,79.9
ACENTRIX PTE. LTD.,34315.45,1,1,80.2,4.14,85.65
ACEPLAS PTE. LTD.,82800.0,1,1,94.3,3.93,62.25
ACEPLP.COM PTE LTD,1054980.28,5,3,97.27,3.4,75.56
ACEPROJECT CONSTRUCTION PTE. LTD.,6133210.0,19,10,81.43,3.01,93.08
ACER COMPUTER (SINGAPORE) PTE LTD,6825233.0,2,2,95.71,3.79,92.17
ACERPACER CONSULTING PTE. LTD.,529900.0,1,1,91.3,4.64,86.51
ACES LEARNING HUB PTE. LTD.,52030.0,1,1,94.58,4.85,83.37
ACES SYSTEM DEVELOPMENT PTE LTD,5500000.0,4,4,100.0,4.81,94.55
ACESIAN STAR (S) PTE. LTD.,1038730.2,3,3,86.04,3.61,97.18
ACESIAN SUN PTE. LTD.,80000.0,1,1,81.97,3.41,76.71
ACEXON TECHNOLOGIES PTE. LTD.,674780.0,3,1,80.88,4.4,68.31
ACEZ INSTRUMENTS PTE. LTD.,477050.0,2,1,81.47,4.48,75.3
ACHEMA PTE LTD,24500.0,2,2,87.38,4.34,100.0
ACHIEVE CAREER CONSULTANT PTE LTD,50.0,3,2,90.73,2.89,62.31
ACHIEVERS PLUS LLP,663650.65,2,2,90.21,3.58,73.29
ACL SERVICES (SINGAPORE) PTE. LTD.,43119.0,1,1,94.62,4.08,63.87
ACME ASSOCIATES PTE. LTD.,9149284.0,3,2,88.1,4.39,79.25
ACME CHEMICALS (FAR EAST) PTE LTD,6346720.0,10,1,99.63,4.56,65.97
ACMS FACILITIES MANAGEMENT PTE. LTD.,899.3,1,1,85.88,4.19,76.91
ACOM ASIAN RESOURCES PTE. LTD.,984240.0,3,2,100.0,4.3,58.5
ACORN MARKETING & RESEARCH CONSULTANTS PTE LTD,2238088.35,1,1,93.01,4.15,84.18
ACORN TRAINING PTE. LTD.,35244.0,4,2,81.14,4.51,90.22
ACOUSTIC & LIGHTING SYSTEM PTE. LTD.,525400.0,6,2,79.43,4.29,74.16
ACOUSTIC GROUP PTE. LTD.,331891.63,1,1,91.86,4.14,76.65
ACP COMPUTER TRAINING SCHOOL PTE. LTD.,290945.0,5,5,86.21,3.94,76.37
ACP OFFICE SUPPLIES PTE. LTD.,833002.0,2,2,93.71,4.15,79.81
ACRE ENGINEERING PTE LTD,4761022.0,19,8,91.79,4.39,77.62
ACREAGE PROPERTY CONSULTANTS LLP,0.01,1,1,87.42,4.26,85.68
ACRES PROPERTY CONSULTANTS LLP,0.02,2,1,81.23,4.33,90.33
ACROMEC ENGINEERS PTE LTD,26949458.49,14,6,75.88,4.91,69.86
ACT 3 INTERNATIONAL PTE LTD,276460.0,4,3,84.43,4.26,74.91
ACTC TRANSLATION CENTRE PTE. LTD.,6.51,2,1,94.85,3.71,87.02
ACTFAST MEDICAL LLC,900.0,1,1,89.71,4.63,63.78
ACTICS ENTERPRISE,229500.0,1,1,78.03,3.28,58.29
ACTION TEAMS PTE. LTD.,1.0,1,1,89.39,3.45,80.26
ACTIVANTS PTE LTD,16920051.8,5,4,91.08,4.3,82.96
ACTIVATE INTERACTIVE PTE LTD,8886680.9,10,3,80.93,4.41,70.78
ACTIVE FIRE PROTECTION SYSTEMS PTE. LTD.,60781.0,1,1,89.23,3.35,72.21
ACTIVE GLOBAL FITNESS PTE. LTD.,1.0,1,1,88.47,3.87,70.4
ACTIVE GLOBAL RESPITE CARE PTE. LTD.,3.0,3,1,78.86,3.74,69.33
ACTIVECOOL FASHION PRIVATE LIMITED,112300.0,1,1,90.86,3.81,84.93
ACTIVEO SINGAPORE PTE. LTD.,1021929.56,2,2,92.49,4.67,66.2
ACTIVISTE PTE. LTD.,631650.0,4,4,96.66,4.52,75.34
ACTIVITY CONSTRUCTION PTE. LTD.,1288000.0,1,1,96.43,4.09,68.95
ACTUALISE! PTE. LTD.,22560.0,1,1,76.98,3.77,63.45
ACTUATION & CONTROLS ENGINEERING SDN. BHD.,51112.28,1,1,80.5,3.29,86.7
ACUATE PRIVATE LIMITED,411044.0,3,2,92.12,4.95,72.8
ACUMED MEDICAL PTE. LTD.,16000.0,1,1,92.11,4.46,79.88
ACXODUS PTE. LTD.,3854344.0,4,1,92.12,3.68,62.92
ADAM KHOO LEADERSHIP COMPANY PTE. LTD.,830583.0,7,3,100.0,4.53,70.58
ADAM KHOO LIFE SKILLS COMPANY PTE. LTD.,1014105.0,8,5,92.57,4.06,85.56
ADAM KHOO LOVE FOR LEARNING COMPANY PTE. LTD.,1301110.0,7,3,97.08,3.93,100.0
ADAM KHOO OUTDOOR COMPANY PTE. LTD.,817148.0,5,2,95.63,4.36,58.24
ADAPTACE PTE. LTD.,1611000.0,1,1,93.21,3.66,75.99
ADDICTION ADVERTISING PTE. LTD.,3353604.71,5,2,85.48,3.89,82.12
ADDP ARCHITECTS LLP,5020101.6,12,5,94.07,4.17,71.84
ADECCO PERSONNEL PTE LTD,574830.0,6,5,81.82,3.8,86.5
ADELE EDUCATIONAL PSYCHOLOGY SERVICES,42820.0,2,2,86.11,4.5,69.33
ADEMCO (FAR EAST) PTE LTD,5654303.0,14,8,84.12,5.0,79.54
ADES ENGINEERING PTE LTD,163936.0,1,1,88.65,3.65,72.78
ADFACTORS PR PRIVATE LIMITED,505886.05,1,1,100.0,3.1,90.19
ADHESIVE PR,942722.95,1,1,73.06,2.9,71.24
ADHESIVE PUBLIC RELATIONS PTY LTD,638726.21,1,1,93.49,4.01,74.48
ADL CONTROL (S) PTE. LTD.,192500.0,1,1,75.1,3.7,87.46
ADMATERIALS TECHNOLOGIES PTE. LTD.,1515909.0,11,4,84.22,4.22,67.72
ADMEN INCORPORATED PTE. LTD.,1.0,1,1,96.71,4.18,78.69
ADNOVUM SINGAPORE PTE. LTD.,6913882.0,3,3,88.51,3.14,59.77
ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,1079742.56,1,1,79.38,3.01,67.12
ADONAI ELECTRONICS SERVICES,220814.4,1,1,82.28,4.28,81.82
ADRED CREATION HOLDINGS PTE. LTD.,1505653.1099999999,3,3,93.44,4.18,68.09
ADRENALIN GROUP PTE. LTD.,866658.55,5,2,82.16,3.84,72.55
ADRIAN FISHER DESIGN LIMITED,495500.0,1,1,89.73,3.11,82.93
ADSAN LAW LLC,1932401.0,9,9,88.36,4.38,72.21
ADSOLUTION,180400.0,1,1,82.79,4.86,86.23
ADTEC ENTERPRISE PTE LTD,27440.0,1,1,100.0,4.27,80.16
ADTITUDE PTE LTD,121666.0,1,1,93.07,3.59,82.36
ADVAN ENGINEERING PTE. LTD.,1248641.0,5,4,71.8,4.13,90.41
ADVANCE COACH PTE. LTD.,660000.0,1,1,89.49,3.28,81.2
